지역코드,지역,조직코드,조직명,기관유형
1100000000,서울특별시,6000,서울금연지원센터,금연지원센터
2600000000,부산광역시,6001,부산금연지원센터,금연지원센터
2700000000,대구광역시,6002,대구금연지원센터,금연지원센터
2800000000,인천광역시,6003,인천금연지원센터,금연지원센터
2900000000,광주광역시,6004,광주금연지원센터,금연지원센터
3000000000,대전광역시,6005,대전금연지원센터,금연지원센터
3000000000,대전광역시,6018,대전세종금연지원센터,금연지원센터
3100000000,울산광역시,6006,울산금연지원센터,금연지원센터
3611000000,세종특별자치시,6007,세종금연지원센터,금연지원센터
4100000000,경기도,6008,경기남부금연지원센터,금연지원센터
4100000000,경기도,6009,경기북부금연지원센터,금연지원센터
4200000000,강원특별자치도,6010,강원금연지원센터,금연지원센터
4300000000,충청북도,6011,충북금연지원센터,금연지원센터
4400000000,충청남도,6012,충남금연지원센터,금연지원센터
4500000000,전북특별자치도,6013,전북금연지원센터,금연지원센터
4600000000,전라남도,6014,전남금연지원센터,금연지원센터
4700000000,경상북도,6015,경북금연지원센터,금연지원센터
4800000000,경상남도,6016,경남금연지원센터,금연지원센터
5000000000,제주특별자치도,6017,제주금연지원센터,금연지원센터
5000000000,제주특별자치도,6020,test금연지원센터,금연지원센터
