지역코드,지역,조직코드,조직명,기관유형
1100000000,서울특별시,2000,서울 성북구보건지소,보건지소
1100000000,서울특별시,0130,서울 강동보건분소,보건지소
1100000000,서울특별시,0131,서울 강북구 보건분소,보건지소
1100000000,서울특별시,0132,서울 강서구 화곡보건분소,보건지소
1100000000,서울특별시,0133,서울 관악구 난곡보건분소,보건지소
1100000000,서울특별시,0134,서울 광진구 도시보건지소,보건지소
1100000000,서울특별시,0135,서울 금천구 독산보건분소,보건지소
1100000000,서울특별시,0136,서울 노원구 보건지소,보건지소
1100000000,서울특별시,0137,서울 도봉구 창동보건지소,보건지소
1100000000,서울특별시,0138,서울 동대문구 보건분소,보건지소
1100000000,서울특별시,0139,서울 동작구사당분소,보건지소
1100000000,서울특별시,0140,서울 마포구 서강보건분소,보건지소
1100000000,서울특별시,0141,서울 서대문구 서대문구분소,보건지소
1100000000,서울특별시,0142,서울 서대문구 홍은보건분소,보건지소
1100000000,서울특별시,0143,서울 서대문구 천연 보건분소,보건지소
1100000000,서울특별시,0144,서울 성동구 금호동보건분소,보건지소
1100000000,서울특별시,0145,서울 성동구 성수동보건분소,보건지소
1100000000,서울특별시,0146,서울 송파구 송파구보건지소,보건지소
1100000000,서울특별시,0147,서울 양천구 양천구보건분소,보건지소
1100000000,서울특별시,0148,서울 영등포 영등포구보건분소,보건지소
1100000000,서울특별시,0149,서울 용산구 용산구보건분소,보건지소
1100000000,서울특별시,0150,서울 은평구 구산보건지소,보건지소
1100000000,서울특별시,0151,서울 은평구 불광분소,보건지소
1100000000,서울특별시,0152,서울 은평구 응암보건지소,보건지소
1100000000,서울특별시,0153,서울 종로구 명륜보건분소,보건지소
1100000000,서울특별시,0154,서울 종로구 종로구보건분소,보건지소
1100000000,서울특별시,0155,서울 중구 중구보건분소,보건지소
1100000000,서울특별시,0156,서울 중랑구 중랑구보건분소,보건지소
2600000000,부산광역시,0720,부산 가락보건지소,보건지소
2600000000,부산광역시,0721,부산 천가보건지소,보건지소
2600000000,부산광역시,0722,부산 녹산보건지소,보건지소
2600000000,부산광역시,0723,부산 강동보건지소,보건지소
2600000000,부산광역시,0724,부산 반송보건지소,보건지소
2600000000,부산광역시,0725,부산 정관보건지소,보건지소
2600000000,부산광역시,0726,부산 장안보건지소,보건지소
2600000000,부산광역시,0727,부산 덕천보건지소,보건지소
2600000000,부산광역시,0728,부산 재반보건지소,보건지소
2600000000,부산광역시,0729,부산 철마보건지소,보건지소
2700000000,대구광역시,0810,대구 수성구 고산건강생활지원센터,보건지소
2700000000,대구광역시,0811,구암건강생활지원센터,보건지소
2700000000,대구광역시,0812,대구 달성군 옥포보건지소,보건지소
2700000000,대구광역시,0813,대구 달성군 다사보건지소,보건지소
2700000000,대구광역시,0814,대구 달성군 논공보건지소,보건지소
2700000000,대구광역시,0815,대구 달성군 구지보건지소,보건지소
2700000000,대구광역시,0816,대구 달성군 유가보건지소,보건지소
2700000000,대구광역시,0817,대구 달성군 하빈보건지소,보건지소
2700000000,대구광역시,0818,대구 달성군 화원보건지소,보건지소
2700000000,대구광역시,0819,대구 달성군 가창보건지소,보건지소
