지역코드,지역,조직코드,조직명,기관유형
4400000000,충청남도,2069,충남 서산시 가강보건진료소,보건진료소
4400000000,충청남도,2080,충남 서산시 강당보건진료소,보건진료소
4400000000,충청남도,2082,충남 서산시 대황보건진료소,보건진료소
4400000000,충청남도,2085,충남 서산시 동암보건진료소,보건진료소
4400000000,충청남도,2078,충남 서산시 명지보건진료소,보건진료소
4400000000,충청남도,2068,충남 서산시 모월보건진료소,보건진료소
4400000000,충청남도,2086,충남 서산시 문양보건진료소,보건진료소
4400000000,충청남도,2089,충남 서산시 봉생보건진료소,보건진료소
4400000000,충청남도,2084,충남 서산시 산성보건진료소,보건진료소
4400000000,충청남도,2088,충남 서산시 소중보건진료소,보건진료소
4400000000,충청남도,2090,충남 서산시 오산보건진료소,보건진료소
4400000000,충청남도,2079,충남 서산시 오지보건진료소,보건진료소
4400000000,충청남도,2087,충남 서산시 원평보건진료소,보건진료소
4400000000,충청남도,2081,충남 서산시 창리보건진료소,보건진료소
4400000000,충청남도,2083,충남 서산시 호리보건진료소,보건진료소
4400000000,충청남도,2066,충남 홍성군 남당보건진료소,보건진료소
4400000000,충청남도,2065,충남 홍성군 판교보건진료소,보건진료소
4500000000,전북특별자치도,2017,전북 김제시 관상보건진료소,보건진료소
4500000000,전북특별자치도,2020,전북 김제시 남산보건진료소,보건진료소
4500000000,전북특별자치도,2038,전북 김제시 대동보건진료소,보건진료소
4500000000,전북특별자치도,2036,전북 김제시 동부보건진료소,보건진료소
4500000000,전북특별자치도,2025,전북 김제시 모산보건진료소,보건진료소
4500000000,전북특별자치도,2019,전북 김제시 묘동보건진료소,보건진료소
4500000000,전북특별자치도,2035,전북 김제시 백학보건진료소,보건진료소
4500000000,전북특별자치도,2029,전북 김제시 복죽보건진료소,보건진료소
4500000000,전북특별자치도,2018,전북 김제시 부신보건진료소,보건진료소
4500000000,전북특별자치도,2027,전북 김제시 부용보건진료소,보건진료소
4500000000,전북특별자치도,2041,전북 김제시 불로보건진료소,보건진료소
4500000000,전북특별자치도,2033,전북 김제시 상정보건진료소,보건진료소
4500000000,전북특별자치도,2026,전북 김제시 성덕보건진료소,보건진료소
4500000000,전북특별자치도,2032,전북 김제시 성동보건진료소,보건진료소
4500000000,전북특별자치도,2023,전북 김제시 신두보건진료소,보건진료소
4500000000,전북특별자치도,2021,전북 김제시 심포보건진료소,보건진료소
4500000000,전북특별자치도,2040,전북 김제시 양전보건진료소,보건진료소
4500000000,전북특별자치도,2030,전북 김제시 용화보건진료소,보건진료소
4500000000,전북특별자치도,2022,전북 김제시 장흥보건진료소,보건진료소
4500000000,전북특별자치도,2031,전북 김제시 조종보건진료소,보건진료소
4500000000,전북특별자치도,2037,전북 김제시 창제보건진료소,보건진료소
4500000000,전북특별자치도,2028,전북 김제시 평지보건진료소,보건진료소
4500000000,전북특별자치도,2024,전북 김제시 해창보건진료소,보건진료소
4500000000,전북특별자치도,2034,전북 김제시 회룡보건진료소,보건진료소
4500000000,전북특별자치도,2039,전북 김제시 회성보건진료소,보건진료소
4100000000,경기도,2133,경기 안성시 보건진료소,보건진료소
4200000000,강원특별자치도,9743,광원보건진료소,보건진료소
1100000000,서울특별시,2138,금천구 보건소,보건진료소
4400000000,충청남도,2119,충남 아산시 갈매보건진료소,보건진료소
4400000000,충청남도,2125,충남 아산시 관대보건진료소,보건진료소
4400000000,충청남도,2118,충남 아산시 금곡보건진료소,보건진료소
4400000000,충청남도,2129,충남 아산시 금성보건진료소,보건진료소
4400000000,충청남도,2122,충남 아산시 덕지보건진료소,보건진료소
4400000000,충청남도,2120,충남 아산시 동산보건진료소,보건진료소
4400000000,충청남도,2116,충남 아산시 동화보건진료소,보건진료소
4400000000,충청남도,2128,충남 아산시 백석포보건진료소,보건진료소
4400000000,충청남도,2123,충남 아산시 산동보건진료소,보건진료소
4400000000,충청남도,2131,충남 아산시 신곡보건진료소,보건진료소
4400000000,충청남도,2126,충남 아산시 신남보건진료소,보건진료소
4400000000,충청남도,2127,충남 아산시 신화보건진료소,보건진료소
4400000000,충청남도,2121,충남 아산시 쌍용보건진료소,보건진료소
4400000000,충청남도,2124,충남 아산시 염작보건진료소,보건진료소
4400000000,충청남도,2117,충남 아산시 유곡보건진료소,보건진료소
4400000000,충청남도,2130,충남 아산시 화천보건진료소,보건진료소
